k .      sigma_HF(k) .        dMu
4.551897946624551   -0.1421396298266505  0.6133032097049609
4.596966243125784   -0.13943455363768556  0.6133032097049609
4.642034539627017   -0.13680459595556815  0.6133032097049609
4.6871028361282505   -0.13424707683157677  0.6133032097049609
4.7321711326294835   -0.1317594296641467  0.6133032097049609
4.7772394291307165   -0.12933919590176565  0.6133032097049609
4.8223077256319495   -0.1269840199943552  0.6133032097049609
4.8673760221331825   -0.12469164458413437  0.6133032097049609
4.912444318634416   -0.12245990592673892  0.6133032097049609
4.9575126151356494   -0.12028672953326693  0.6133032097049609
5.0025809116368825   -0.11817012602392334  0.6133032097049609
5.0476492081381155   -0.11610818718402124  0.6133032097049609
5.0927175046393485   -0.11409908221324178  0.6133032097049609
5.137785801140582   -0.11214105415925565  0.6133032097049609
